PolicyID|Province|PostalCode|Gender|Age|TotalPremium|TotalClaims|VehicleType
1|Gauteng|4001|Female|44|954.06|2500.0|Hatchback
2|EasternCape|7002|Female|25|1052.06|544.43|Sedan
3|EasternCape|2001|Female|36|858.86|0.0|SUV
4|KwaZuluNatal|2002|Male|59|1108.5|0.0|Truck
5|KwaZuluNatal|4001|Female|49|1178.66|2500.0|Hatchback
6|Limpopo|4001|Male|69|1154.0|0.0|Sedan
7|Gauteng|4001|Male|58|965.33|0.0|Truck
8|EasternCape|2002|Female|36|1369.71|0.0|Hatchback
9|WesternCape|4001|Male|57|942.71|0.0|SUV
10|Gauteng|2001|Male|62|924.46|0.0|Truck
11|KwaZuluNatal|2002|Male|50|1549.93|2500.0|SUV
12|Limpopo|7002|Male|57|805.88|0.0|SUV
13|EasternCape|4002|Female|44|743.98|0.0|SUV
14|EasternCape|4002|Male|65|837.64|521.75|Truck
15|EasternCape|6001|Male|30|1104.62|0.0|SUV
16|EasternCape|5002|Female|40|1464.04|0.0|Truck
17|KwaZuluNatal|7001|Male|31|869.12|0.0|Hatchback
18|Gauteng|5001|Female|23|1788.4|372.55|Sedan
19|Limpopo|2001|Male|50|1006.58|0.0|Sedan
20|KwaZuluNatal|5002|Male|24|973.21|0.0|Sedan
21|KwaZuluNatal|7001|Female|29|840.21|0.0|Hatchback
22|WesternCape|5001|Female|57|1889.85|0.0|Truck
23|Gauteng|6001|Male|30|965.51|963.05|Sedan
24|Limpopo|5001|Male|62|779.88|0.0|SUV
25|EasternCape|6001|Female|20|2347.72|0.0|Truck
26|EasternCape|2001|Female|41|1106.57|0.0|Truck
27|KwaZuluNatal|2002|Female|21|1245.98|0.0|Truck
28|Limpopo|4002|Male|21|1697.07|2500.0|Sedan
29|KwaZuluNatal|4001|Female|59|1178.33|2500.0|Sedan
30|KwaZuluNatal|2002|Male|21|1317.95|0.0|Truck
31|KwaZuluNatal|5001|Male|64|1013.25|2500.0|Sedan
32|WesternCape|2001|Male|49|1221.23|1556.53|Truck
33|Gauteng|6001|Male|43|991.89|0.0|Truck
34|KwaZuluNatal|2002|Female|65|995.18|0.0|Hatchback
35|Limpopo|7002|Male|38|1029.79|884.04|Truck
36|Gauteng|5002|Female|38|915.25|0.0|Sedan
37|Limpopo|4001|Female|39|1141.36|2500.0|Sedan
38|Limpopo|5001|Female|51|1140.54|0.0|Hatchback
39|WesternCape|5001|Female|62|1253.81|2500.0|Sedan
40|EasternCape|6001|Male|46|1187.12|0.0|Hatchback
41|Gauteng|7002|Female|32|1928.08|613.5|Hatchback
42|EasternCape|6001|Male|64|1352.23|0.0|Hatchback
43|EasternCape|4001|Male|49|953.23|0.0|Hatchback
44|WesternCape|5002|Male|61|1124.95|481.05|Sedan
45|Gauteng|5001|Female|40|1533.63|0.0|SUV
46|Limpopo|2002|Male|28|826.21|0.0|Truck
47|KwaZuluNatal|4002|Female|67|1939.44|0.0|Hatchback
48|Limpopo|5002|Male|53|851.31|0.0|Sedan
49|EasternCape|2002|Female|34|1286.52|2500.0|Truck
50|EasternCape|5002|Female|62|1001.59|0.0|Truck
51|EasternCape|2002|Female|18|987.96|0.0|Hatchback
52|Gauteng|5002|Female|66|783.04|0.0|Hatchback
53|WesternCape|5001|Female|48|1289.5|2500.0|SUV
54|KwaZuluNatal|2002|Female|48|784.65|0.0|Truck
55|KwaZuluNatal|5001|Male|18|768.31|2500.0|Sedan
56|Gauteng|2002|Male|27|1402.14|893.95|Hatchback
57|KwaZuluNatal|4001|Female|55|1770.55|0.0|Truck
58|Gauteng|6001|Male|47|868.03|2500.0|Sedan
59|EasternCape|2003|Female|24|1330.21|2500.0|Sedan
60|EasternCape|2002|Female|52|1245.08|0.0|Truck
61|Limpopo|7002|Female|56|978.63|0.0|Truck
62|EasternCape|7001|Male|32|1491.54|0.0|Hatchback
63|WesternCape|2001|Male|53|962.6|0.0|Truck
64|Limpopo|7002|Female|68|1145.65|0.0|Hatchback
65|KwaZuluNatal|2003|Male|43|788.52|0.0|Sedan
66|WesternCape|2002|Female|29|793.42|2500.0|Hatchback
67|Limpopo|2003|Male|68|1406.65|395.78|SUV
68|WesternCape|2001|Male|65|1156.79|0.0|SUV
69|Gauteng|6001|Male|41|967.23|0.0|Hatchback
70|KwaZuluNatal|6001|Male|40|1856.61|2500.0|SUV
71|EasternCape|7001|Female|61|1848.69|0.0|Sedan
72|Gauteng|5002|Female|18|1120.59|0.0|Sedan
73|KwaZuluNatal|7002|Male|34|767.01|0.0|Sedan
74|Gauteng|6001|Female|46|974.09|2500.0|Truck
75|EasternCape|2002|Male|52|842.72|0.0|SUV
76|KwaZuluNatal|2003|Female|50|1022.07|219.7|Sedan
77|WesternCape|5001|Female|37|828.08|0.0|Sedan
78|WesternCape|2003|Female|63|795.14|0.0|Truck
79|KwaZuluNatal|5002|Female|51|702.91|0.0|SUV
80|EasternCape|7002|Female|46|1042.23|741.4|SUV
81|Limpopo|7002|Male|66|700.71|2500.0|Hatchback
82|KwaZuluNatal|7002|Male|22|930.08|0.0|Hatchback
83|Gauteng|5001|Female|54|1206.74|0.0|Sedan
84|Limpopo|2001|Female|66|859.36|2500.0|SUV
85|EasternCape|5001|Female|52|808.63|0.0|SUV
86|EasternCape|5001|Female|47|984.04|0.0|SUV
87|Gauteng|5002|Male|36|843.3|0.0|Truck
88|WesternCape|6001|Male|32|1047.13|0.0|SUV
89|EasternCape|5001|Female|46|815.24|0.0|Truck
90|Limpopo|4001|Male|64|975.69|2500.0|SUV
91|KwaZuluNatal|7002|Male|42|924.93|0.0|Sedan
92|Limpopo|7001|Female|24|997.24|0.0|SUV
93|Limpopo|5002|Male|43|1666.95|0.0|Truck
94|WesternCape|7001|Female|23|1050.95|0.0|SUV
95|Limpopo|4001|Female|66|1141.39|1815.05|Sedan
96|WesternCape|2001|Male|45|874.95|2500.0|Sedan
97|WesternCape|7001|Female|29|1057.34|0.0|Sedan
98|EasternCape|2003|Female|50|939.2|2500.0|SUV
99|EasternCape|7002|Female|45|1007.18|0.0|Hatchback
100|Gauteng|4001|Female|44|1190.42|1472.61|Hatchback
101|Limpopo|5001|Male|48|896.29|2500.0|Truck
102|Gauteng|7002|Female|66|915.02|0.0|Truck
103|Limpopo|2002|Female|62|898.75|2500.0|Sedan
104|Gauteng|4001|Male|31|895.31|0.0|Truck
105|EasternCape|2001|Male|30|1043.81|2500.0|Truck
106|EasternCape|5002|Male|69|921.53|0.0|Sedan
107|EasternCape|5001|Male|51|1582.64|0.0|Truck
